datetime,location,incident_number,details,retrieval_date
11/03/2024 00:28,535 Beech St: @CENTRAL HS JAMES BLDG (CENTRAL HIGH,24088350,ALARM BURGLARY,2024-11-04
11/03/2024 16:53,177 Massabesic St,24088491,NEIGHBOR COMPLAINT,2024-11-04
11/03/2024 15:49,370 Hanover St,24088481,MISSING PERSON CHECK,2024-11-04
11/03/2024 16:00,Putnam St / Notre Dame Ave,24088482,TRAFFIC STOP,2024-11-04
11/03/2024 16:06,1066 FRONT ST: @MANCH COMMUNITY COLLEGE NORTH BLDG,24088483,SPECIAL ATTENTION,2024-11-04
11/03/2024 16:12,443 CHESTNUT ST: @VICTORY PARK,24088484,SPECIAL ATTENTION,2024-11-04
11/03/2024 16:15,167 Hanover St: @DOWN THE BLOCK,24088485,ROBBERY,2024-11-04
11/03/2024 16:30,445 Willow St: @VALLEY STREET JAIL,24088486,WAGON TRANSPORT,2024-11-04
11/03/2024 16:40,103 DRIVING PARK RD: @PRECOURT PARK,24088487,SPECIAL ATTENTION,2024-11-04
11/03/2024 16:49,298 S Main St,24088489,CHECK AREA FOR PROBLEM,2024-11-04
11/03/2024 16:51,216 ELM ST: @DUNKIN DONUTS ELM/VALLEY,24088488,BUSINESS CHECK,2024-11-04
11/03/2024 16:52,Canal St / Market St,24088490,CHECK AREA FOR PROBLEM,2024-11-04
11/03/2024 16:55,1500 S Willow St: @Mall of NH (Mall of New Hampshi,24088492,STOLEN MOTOR VEHICLE,2024-11-04
11/03/2024 17:29,443 CHESTNUT ST: @VICTORY PARK,24088504,SPECIAL ATTENTION,2024-11-04
11/03/2024 16:59,68 ELM ST: @NH STATE LIQUOR STORE 10,24088493,BUSINESS CHECK,2024-11-04
11/03/2024 16:59,2 Bethel Ct,24088494,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 17:00,210 EDDY RD: @MOBIL MART,24088495,BUSINESS CHECK,2024-11-04
11/03/2024 17:02,955 Second St: @KFC SECOND ST,24088497,DISORDERLY CONDUCT,2024-11-04
11/03/2024 17:04,111 AMHERST ST: @DEVINE MILLIMET & BRANCH,24088496,HOMELESS ISSUES,2024-11-04
11/03/2024 17:07,199 manchester st,24088498,SPECIAL ATTENTION,2024-11-04
11/03/2024 17:07,947 ELM ST: @BUNNY'S CONVENIENCE,24088499,BUSINESS CHECK,2024-11-04
11/03/2024 17:18,749 N Commercial St,24088501,TRESPASSING,2024-11-04
11/03/2024 17:19,200 John E Devine Dr: @BJ'S WHOLESALE CLUB,24088500,LOCKOUTS,2024-11-04
11/03/2024 17:23,199 Manchester St: @FIT - FAMLIES IN TRANSITION,24088502,ASSAULT,2024-11-04
11/03/2024 15:42,405 Valley St: @MPD,24088480,CIVIL ISSUE,2024-11-04
11/03/2024 15:31,16 Lowell St,24088479,HOMELESS ISSUES,2024-11-04
11/03/2024 15:31,631 Clay St,24088478,SEXUAL ASSAULT,2024-11-04
11/03/2024 15:24,LINCOLN ST / HANOVER ST,24088476,PARKING COMPLAINT,2024-11-04
11/03/2024 13:11,200 John E Devine Dr: @BJ'S WHOLESALE CLUB,24088457,ACCIDENT,2024-11-04
11/03/2024 13:13,2391 BROWN AVE: @ALLTOWN MOBILE,24088456,BUSINESS CHECK,2024-11-04
11/03/2024 13:25,61 Lowell St: @RED ARROW DINER,24088458,ARGUMENT,2024-11-04
11/03/2024 13:31,535 Beech St: @CENTRAL HS CLASSICAL BLDG (CENTRAL ,24088459,ALARM BURGLARY,2024-11-04
11/03/2024 13:33,61 Lowell St: @RED ARROW DINER,24088460,,2024-11-04
11/03/2024 13:47,S Willow St / John E Devine Dr,24088461,MV PURSUIT,2024-11-04
11/03/2024 14:16,460 Elm St: @MARKET BASKET,24088462,FIGHT,2024-11-04
11/03/2024 14:37,200 HANOVER ST: @HUGH GALLEN HIGH RISE,24088463,KNOCK AND TALK,2024-11-04
11/03/2024 14:40,1033 Union St,24088464,MENTAL HEALTH ISSUE,2024-11-04
11/03/2024 14:42,177 Massabesic St,24088465,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 14:51,Hall St / Lake Ave,24088466,ASSAULT,2024-11-04
11/03/2024 14:55,95 OAK HILL AVE,24088467,SUSPICIOUS MOTOR VEHICLE,2024-11-04
11/03/2024 14:55,104 Parker St,24088470,HARRASSMENT,2024-11-04
11/03/2024 14:58,425 LAKE AVE: @LAKE AVE FOOD MART,24088468,BUSINESS CHECK,2024-11-04
11/03/2024 15:00,535 BEECH ST: @CENTRAL HS CLASSICAL BLDG (CENTRAL ,24088469,ALARM BURGLARY,2024-11-04
11/03/2024 15:01,330 Somerville St,24088471,SEXUAL ASSAULT,2024-11-04
11/03/2024 15:09,Bridge St / Hall St,24088472,ACCIDENT,2024-11-04
11/03/2024 15:14,443 CHESTNUT ST: @VICTORY PARK,24088473,SPECIAL ATTENTION,2024-11-04
11/03/2024 15:15,199 manchester st,24088474,SPECIAL ATTENTION,2024-11-04
11/03/2024 15:21,443 CHESTNUT ST: @VICTORY PARK,24088475,SPECIAL ATTENTION,2024-11-04
11/03/2024 15:22,31 Ahern St,24088477,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 17:26,GRANITE ST / ELM ST,24088503,TRAFFIC STOP,2024-11-04
11/03/2024 17:34,Brown Ave / S Beech St,24088505,CRIMINAL MISCHIEF,2024-11-04
11/03/2024 13:08,228 Maple St,24088453,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 22:07,103 Claire St,24088545,THEFT,2024-11-04
11/03/2024 21:00,RIMMON ST / BREMER ST,24088535,ABANDON VEHICLE,2024-11-04
11/03/2024 21:12,1056 River Rd: @YDC,24088536,HANGUP CALL,2024-11-04
11/03/2024 21:15,1404 ELM,24088537,PARKING COMPLAINT,2024-11-04
11/03/2024 21:21,S Beech St / Gold St,24088539,BROADCAST MESSAGE,2024-11-04
11/03/2024 21:21,Elm St / Hanover St,24088538,TRAFFIC STOP,2024-11-04
11/03/2024 21:25,843 Mammoth Rd: @FOURTH ST REALTY #843,24088542,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 21:25,405 Valley St: @MPD,24088541,VIOLATION OF BAIL,2024-11-04
11/03/2024 21:26,ELM ST / OLD GRANITE ST,24088540,TRAFFIC STOP,2024-11-04
11/03/2024 21:26,1345 Bodwell Rd: @TALL PINES #1345,24088543,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 21:52,535 Beech St: @CENTRAL HS CLASSICAL BLDG (CENTRAL ,24088544,ALARM BURGLARY,2024-11-04
11/03/2024 22:16,217 Union St: @Brothers Express,24088546,CHECK SUBJECT,2024-11-04
11/03/2024 17:54,312 Cartier St,24088507,CHECK AREA FOR PROBLEM,2024-11-04
11/03/2024 22:38,460 Elm St: @MARKET BASKET,24088547,TRAFFIC STOP,2024-11-04
11/03/2024 23:21,251 N Bay St,24088548,THEFT,2024-11-04
11/03/2024 23:47,242 BEECH ST: @7-ELEVEN VALLEY ST,24088549,BUSINESS CHECK,2024-11-04
11/03/2024 23:54,242 Beech St: @7-ELEVEN VALLEY ST,24088550,BUSINESS CHECK,2024-11-04
11/03/2024 23:56,271 GRANITE ST: @DUNKIN DONUTS GRANITE ST ST,24088551,BUSINESS CHECK,2024-11-04
11/03/2024 23:57,Hanover St / Chestnut St,24088552,TRAFFIC STOP,2024-11-04
11/03/2024 23:57,Auburn St South Back / Maple St,24088553,TRAFFIC STOP,2024-11-04
11/03/2024 23:58,107 Pine St: @ADVANCED AUTO PARTS,24088554,ALARM BURGLARY,2024-11-04
11/03/2024 23:58,171 Second St,24088555,NOISE COMPLAINT,2024-11-04
11/03/2024 00:32,118 Hunters Village Way,24088352,HANGUP CALL,2024-11-04
11/03/2024 20:51,1466 ELM,24088534,PARKING COMPLAINT,2024-11-04
11/03/2024 20:36,184 IRWIN DR,24088533,CRIMINAL THREATENING,2024-11-04
11/03/2024 20:28,Hanover St / Beech St,24088532,TRAFFIC STOP,2024-11-04
11/03/2024 20:22,GOLD/JOHN E DIVINE,24088531,TRAFFIC STOP,2024-11-04
11/03/2024 17:58,175 CHESTNUT ST: @KALIVAS HI RISE,24088508,SPECIAL ATTENTION,2024-11-04
11/03/2024 17:59,20 Boynton St: @BUDGET GAS S MAIN,24088509,TRAFFIC STOP,2024-11-04
11/03/2024 18:07,Front St / Amoskeag Traffic Cir,24088510,ACCIDENT,2024-11-04
11/03/2024 18:07,1361 Elm St: @BEDFORD BLOCK,24088511,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 18:10,535 Beech St: @CENTRAL HS CLASSICAL BLDG (CENTRAL ,24088512,ALARM BURGLARY,2024-11-04
11/03/2024 18:14,136 Lowell St: @FAMILIES IN TRANSITION #136,24088513,FIGHT,2024-11-04
11/03/2024 18:19,65 Dearborn St,24088514,ACCIDENT HIT AND RUN,2024-11-04
11/03/2024 18:25,850 E Industrial Park Dr: @Pizza Man,24088516,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 18:25,386 Union St: @GRANITE STATE LAUNDRY,24088515,THEFT,2024-11-04
11/03/2024 18:31,196 River Rd: @RESIDENCE AT RIVERSIDE,24088517,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 18:36,700 Huse Rd: @COURTYARD BY MARRIOTT,24088518,ANIMAL COMPLAINTS,2024-11-04
11/03/2024 19:07,14 Ran St Nashua Nh,24088519,ADDED INFO TO PREVIOUS CASE,2024-11-04
11/03/2024 19:08,Dunbarton Rd / Front St: @Maxwell Pond,24088520,FIREWORKS,2024-11-04
11/03/2024 19:24,445 Willow St: @VALLEY STREET JAIL,24088521,WAGON TRANSPORT,2024-11-04
11/03/2024 19:29,EDDY RD AMOSKEAG TRAFFIC CIRCLE W,24088522,SPECIAL ATTENTION,2024-11-04
11/03/2024 19:35,266 Dubuque St,24088523,OVERDOSE,2024-11-04
11/03/2024 19:50,78 Walnut St,24088526,NEIGHBOR COMPLAINT,2024-11-04
11/03/2024 19:50,135 Webster St: @WEBSTER HOUSE,24088528,SUSPICIOUS PERSON,2024-11-04
11/03/2024 19:52,HARRISON ST / CHESTNUT ST,24088527,ABANDON VEHICLE,2024-11-04
11/03/2024 20:08,1111 S WILLOW,24088529,TRAFFIC STOP,2024-11-04
11/03/2024 20:20,1066 FRONT ST: @MANCH COMMUNITY COLLEGE NORTH BLDG,24088530,SPECIAL ATTENTION,2024-11-04
11/03/2024 13:11,474 Goffstown Rd: @MT CALVARY CEMETERY,24088455,FOUND PROPERTY,2024-11-04
11/03/2024 17:54,259 CHESTNUT ST: @OMALLEY HI RISE,24088506,SPECIAL ATTENTION,2024-11-04
11/03/2024 13:06,557 S Commercial St: @RIVERWALK APARTMENTS BLDG A,24088452,HANGUP CALL,2024-11-04
11/03/2024 02:58,167 S Elm St,24088387,ACCIDENT UNKNOWN INJURY,2024-11-04
11/03/2024 01:51,Pearl St / Chestnut St,24088372,TRAFFIC STOP,2024-11-04
11/03/2024 02:08,2291 Elm St: @HOLY CROSS CONDOMINIUMS,24088379,ALARM BURGLARY,2024-11-04
11/03/2024 02:10,264 Pearl St,24088380,NOISE COMPLAINT,2024-11-04
11/03/2024 02:14,W Hancock St / Second St,24088381,TRAFFIC STOP,2024-11-04
11/03/2024 02:16,412 Notre Dame Ave,24088383,CHECK AREA FOR PROBLEM,2024-11-04
11/03/2024 02:19,85 S MAIN ST: @7-ELEVEN S MAIN ST,24088382,SPECIAL ATTENTION,2024-11-04
11/03/2024 02:22,HALL ST / GROVE ST,24088384,HOTSPOT PATROL,2024-11-04
11/03/2024 02:22,163 S Beech St,24088385,HANGUP CALL,2024-11-04
11/03/2024 02:32,445 Willow St: @VALLEY STREET JAIL,24088386,WAGON TRANSPORT,2024-11-04
11/03/2024 02:58,167 S ELM ST,24088388,ACCIDENT WITH INJURY,2024-11-04
11/03/2024 03:23,269 ASH ST,24088390,SHOOTING,2024-11-04
11/03/2024 05:14,1 Elliot Way: @ELLIOT HOSPITAL,24088401,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 03:24,445 Willow St: @VALLEY STREET JAIL,24088389,WAGON TRANSPORT,2024-11-04
11/03/2024 03:47,509 Laydon St,24088391,CHECK AREA FOR PROBLEM,2024-11-04
11/03/2024 04:09,535 Beech St: @CENTRAL HS JAMES BLDG (CENTRAL HIGH,24088393,ALARM BURGLARY,2024-11-04
11/03/2024 04:10,445 Willow St: @VALLEY STREET JAIL,24088392,WAGON TRANSPORT,2024-11-04
11/03/2024 04:11,315 Manchester St,24088395,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 04:18,Cedar St / Beech St,24088394,TRAFFIC STOP,2024-11-04
11/03/2024 04:18,242 BEECH ST: @7-ELEVEN VALLEY ST,24088396,BUSINESS CHECK,2024-11-04
11/03/2024 04:24,SECOND ST,24088397,SPECIAL ATTENTION,2024-11-04
11/03/2024 04:27,303 BEECH ST: @JFK COLISEUM,24088398,SPECIAL ATTENTION,2024-11-04
11/03/2024 04:45,CONANT ST / DUBUQUE ST,24088399,HOTSPOT PATROL,2024-11-04
11/03/2024 01:44,Elm St / Hayward St,24088378,TRAFFIC STOP,2024-11-04
11/03/2024 01:43,Merrimack St / Union St,24088371,TRAFFIC STOP,2024-11-04
11/03/2024 01:43,Elm St / Valley St,24088370,ACCIDENT WITH INJURY,2024-11-04
11/03/2024 01:35,1279 S Willow St: @DRAFTKINGS SPORTS BOOK,24088369,ASSIST OTHER AGENCY,2024-11-04
11/03/2024 00:36,212 Lowell St: @DOMINOS LOWELL ST,24088351,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 13:06,570 Elm St: @QUALITY FUEL,24088454,FRAUD,2024-11-04
11/03/2024 00:43,50 Old Granite St: @THE GOAT BAR & GRILL,24088354,ASSAULT,2024-11-04
11/03/2024 00:45,1 Line Dr: @NORTHEAST DELTA DENTAL STADIUM,24088353,ALARM,2024-11-04
11/03/2024 00:59,244 Cedar St,24088355,CHECK AREA FOR PROBLEM,2024-11-04
11/03/2024 01:02,192 Electric St: @SANDY BEACH,24088374,MEDICAL PROBLEM,2024-11-04
11/03/2024 01:02,170 Amherst St: @AMHERST APTS,24088376,CHECK AREA FOR PROBLEM,2024-11-04
11/03/2024 01:03,242 BEECH ST: @7-ELEVEN VALLEY ST,24088356,BUSINESS CHECK,2024-11-04
11/03/2024 01:04,Lake Ave / Chestnut St,24088357,TRAFFIC STOP,2024-11-04
11/03/2024 01:05,Elm St / Myrtle St,24088375,CHECK AREA FOR PROBLEM,2024-11-04
11/03/2024 01:08,Pine St / High St,24088358,TRAFFIC STOP,2024-11-04
11/03/2024 01:09,55 John E Devine Dr: @EVEN HOTEL,24088367,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 01:16,550 Weston Rd,24088361,CHECK AREA FOR PROBLEM,2024-11-04
11/03/2024 01:17,Elm Street,24088359,SPECIAL ATTENTION,2024-11-04
11/03/2024 01:19,Downtown,24088360,SPECIAL ATTENTION,2024-11-04
11/03/2024 01:21,377 Kimball St,24088366,MUSIC COMPLAINT,2024-11-04
11/03/2024 01:25,217 UNION ST: @Brothers Express,24088362,BUSINESS CHECK,2024-11-04
11/03/2024 01:26,186 Bell St,24088364,MISSING JUVENILE,2024-11-04
11/03/2024 01:28,CHESTNUT ST / AMHERST ST,24088363,TRAFFIC STOP,2024-11-04
11/03/2024 01:28,1293 Elm St,24088365,SPECIAL ATTENTION,2024-11-04
11/03/2024 01:35,102 ELM ST: @ELM ST HOUSE OF PIZZA,24088368,TRAFFIC STOP,2024-11-04
11/03/2024 04:46,535 Beech St: @CENTRAL HS JAMES BLDG (CENTRAL HIGH,24088400,ALARM BURGLARY,2024-11-04
11/03/2024 01:51,907 Second St: @MCDONALDS SECOND ST,24088373,CHECK CONDITION OF SUBJECT,2024-11-04
11/03/2024 05:28,Cushing Ave / Laydon St,24088402,SUSPICIOUS MOTOR VEHICLE,2024-11-04
11/03/2024 11:49,111 Amherst St: @DEVINE MILLIMET & BRANCH,24088440,HOMELESS ISSUES,2024-11-04
11/03/2024 10:33,405 Valley St: @MPD,24088429,WARRANT,2024-11-04
